competition,match_stage,date,venue,club,opponent,match_score,player_position,goal_minute,score_at_goal,goal_type,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
LaLiga,15,2020-12-22,Away,FC Barcelona,Real Valladolid CF,0:3,AM,65,0:3,Left-footed shot,Pedri,2020-21,2020s,False,61-75
LaLiga,2,2021-01-06,Away,FC Barcelona,Athletic Bilbao,2:3,CF,38,1:2,Left-footed shot,Pedri,2020-21,2020s,False,31-45
LaLiga,2,2021-01-06,Away,FC Barcelona,Athletic Bilbao,2:3,CF,62,1:3,Left-footed shot,Antoine Griezmann,2020-21,2020s,False,61-75
LaLiga,18,2021-01-09,Away,FC Barcelona,Granada CF,0:4,CF,35,0:2,Left-footed shot,Antoine Griezmann,2020-21,2020s,False,31-45
LaLiga,18,2021-01-09,Away,FC Barcelona,Granada CF,0:4,CF,42,0:3,Direct free kick,Not Applicable,2020-21,2020s,False,31-45
Copa del Rey,Round of 16,2021-01-27,Away,FC Barcelona,Rayo Vallecano,1:2,CF,69,1:1,Left-footed shot,Antoine Griezmann,2020-21,2020s,False,61-75
LaLiga,21,2021-01-31,Home,FC Barcelona,Athletic Bilbao,2:1,CF,20,1:0,Direct free kick,Not Applicable,2020-21,2020s,True,16-30
LaLiga,22,2021-02-07,Away,FC Barcelona,Real Betis Balompié,2:3,CF,59,1:1,Left-footed shot,Ousmane Dembélé,2020-21,2020s,False,46-60
LaLiga,23,2021-02-13,Home,FC Barcelona,Deportivo Alavés,5:1,CF,46,2:0,Left-footed shot,Sergio Busquets,2020-21,2020s,True,46-60
LaLiga,23,2021-02-13,Home,FC Barcelona,Deportivo Alavés,5:1,CF,75,4:1,Left-footed shot,Antoine Griezmann,2020-21,2020s,True,61-75
UEFA Champions League,Round of 16,2021-02-16,Home,FC Barcelona,Paris Saint-Germain,1:4,CF,27,1:0,Penalty,Not Applicable,2020-21,2020s,True,16-30
LaLiga,24,2021-02-21,Home,FC Barcelona,Cádiz CF,1:1,CF,32,1:0,Penalty,Not Applicable,2020-21,2020s,True,31-45
LaLiga,1,2021-02-24,Home,FC Barcelona,Elche CF,3:0,CF,48,1:0,Left-footed shot,Martin Braithwaite,2020-21,2020s,True,46-60
LaLiga,1,2021-02-24,Home,FC Barcelona,Elche CF,3:0,CF,68,2:0,Left-footed shot,Frenkie de Jong,2020-21,2020s,True,61-75
LaLiga,25,2021-02-27,Away,FC Barcelona,Sevilla FC,0:2,CF,85,0:2,Right-footed shot,Ilaix Moriba,2020-21,2020s,False,76-90
UEFA Champions League,Round of 16,2021-03-10,Away,FC Barcelona,Paris Saint-Germain,1:1,SS,37,1:1,Long distance kick,Pedri,2020-21,2020s,False,31-45
LaLiga,27,2021-03-15,Home,FC Barcelona,SD Huesca,4:1,SS,13,1:0,Left-footed shot,Sergio Busquets,2020-21,2020s,True,0-15
LaLiga,27,2021-03-15,Home,FC Barcelona,SD Huesca,4:1,SS,90,4:1,Left-footed shot,Francisco Trincão,2020-21,2020s,True,76-90
LaLiga,28,2021-03-21,Away,FC Barcelona,Real Sociedad,1:6,SS,56,0:4,Left-footed shot,Sergio Busquets,2020-21,2020s,False,46-60
LaLiga,28,2021-03-21,Away,FC Barcelona,Real Sociedad,1:6,SS,89,1:6,Left-footed shot,Jordi Alba,2020-21,2020s,False,76-90
Copa del Rey,Final,2021-04-17,Away,FC Barcelona,Athletic Bilbao,0:4,CF,68,0:3,Left-footed shot,Frenkie de Jong,2020-21,2020s,False,61-75
Copa del Rey,Final,2021-04-17,Away,FC Barcelona,Athletic Bilbao,0:4,CF,72,0:4,Left-footed shot,Jordi Alba,2020-21,2020s,False,61-75
LaLiga,31,2021-04-22,Home,FC Barcelona,Getafe CF,5:2,CF,8,1:0,Left-footed shot,Sergio Busquets,2020-21,2020s,True,0-15
LaLiga,31,2021-04-22,Home,FC Barcelona,Getafe CF,5:2,CF,33,3:1,Left-footed shot,Not Applicable,2020-21,2020s,True,31-45
LaLiga,33,2021-04-29,Home,FC Barcelona,Granada CF,1:2,CF,23,1:0,Left-footed shot,Antoine Griezmann,2020-21,2020s,True,16-30
LaLiga,34,2021-05-02,Away,FC Barcelona,Valencia CF,2:3,CF,57,1:1,Left-footed shot,Not Applicable,2020-21,2020s,False,46-60
LaLiga,34,2021-05-02,Away,FC Barcelona,Valencia CF,2:3,CF,69,1:3,Direct free kick,Not Applicable,2020-21,2020s,False,61-75
LaLiga,36,2021-05-11,Away,FC Barcelona,Levante UD,3:3,SS,25,0:1,Left-footed shot,Not Applicable,2020-21,2020s,False,16-30
LaLiga,37,2021-05-16,Home,FC Barcelona,Celta de Vigo,1:2,SS,28,1:0,Header,Sergio Busquets,2020-21,2020s,True,16-30
UEFA Champions League,Group Stage,2021-09-28,Home,Paris Saint-Germain,Manchester City,2:0,RW,74,2:0,Left-footed shot,Kylian Mbappé,2021-22,2020s,True,61-75
UEFA Champions League,Group Stage,2021-10-19,Home,Paris Saint-Germain,RB Leipzig,3:2,RW,67,2:2,Left-footed shot,Kylian Mbappé,2021-22,2020s,True,61-75
UEFA Champions League,Group Stage,2021-10-19,Home,Paris Saint-Germain,RB Leipzig,3:2,RW,74,3:2,Penalty,Not Applicable,2021-22,2020s,True,61-75
Ligue 1,14,2021-11-20,Home,Paris Saint-Germain,FC Nantes,3:1,RW,87,3:1,Left-footed shot,Kylian Mbappé,2021-22,2020s,True,76-90
UEFA Champions League,Group Stage,2021-12-07,Home,Paris Saint-Germain,Club Brugge KV,4:1,CF,38,3:0,Left-footed shot,Kylian Mbappé,2021-22,2020s,True,31-45
UEFA Champions League,Group Stage,2021-12-07,Home,Paris Saint-Germain,Club Brugge KV,4:1,CF,76,4:1,Penalty,Not Applicable,2021-22,2020s,True,76-90
Ligue 1,23,2022-02-06,Away,Paris Saint-Germain,LOSC Lille,1:5,CF,38,1:3,Left-footed shot,Not Applicable,2021-22,2020s,False,31-45
Ligue 1,30,2022-04-03,Home,Paris Saint-Germain,FC Lorient,5:1,RW,73,4:1,Left-footed shot,Kylian Mbappé,2021-22,2020s,True,61-75
Ligue 1,34,2022-04-23,Home,Paris Saint-Germain,RC Lens,1:1,RW,68,1:0,Left-footed shot,Neymar,2021-22,2020s,True,61-75
Ligue 1,37,2022-05-14,Away,Paris Saint-Germain,Montpellier HSC,0:4,CF,6,0:1,Left-footed shot,Kylian Mbappé,2021-22,2020s,False,0-15
Ligue 1,37,2022-05-14,Away,Paris Saint-Germain,Montpellier HSC,0:4,CF,20,0:2,Left-footed shot,Kylian Mbappé,2021-22,2020s,False,16-30
Trophée des Champions,Final,2022-07-31,Home,Paris Saint-Germain,FC Nantes,4:0,CF,22,1:0,Right-footed shot,Not Applicable,2022-23,2020s,True,16-30
Ligue 1,1,2022-08-06,Away,Paris Saint-Germain,Clermont Foot 63,0:5,CF,80,0:4,Left-footed shot,Neymar,2022-23,2020s,False,76-90
Ligue 1,1,2022-08-06,Away,Paris Saint-Germain,Clermont Foot 63,0:5,CF,86,0:5,Left-footed shot,Leandro Paredes,2022-23,2020s,False,76-90
Ligue 1,3,2022-08-21,Away,Paris Saint-Germain,LOSC Lille,1:7,RW,27,0:2,Right-footed shot,Nuno Mendes,2022-23,2020s,False,16-30
UEFA Champions League,Group Stage,2022-09-14,Away,Paris Saint-Germain,Maccabi Haifa,1:3,RW,37,1:1,Left-footed shot,Not Applicable,2022-23,2020s,False,31-45
Ligue 1,8,2022-09-18,Away,Paris Saint-Germain,Olympique Lyon,0:1,RW,5,0:1,Left-footed shot,Neymar,2022-23,2020s,False,0-15
Ligue 1,9,2022-10-01,Home,Paris Saint-Germain,OGC Nice,2:1,AM,28,1:0,Direct free kick,Not Applicable,2022-23,2020s,True,16-30
UEFA Champions League,Group Stage,2022-10-05,Away,Paris Saint-Germain,SL Benfica,1:1,RW,22,0:1,Left-footed shot,Neymar,2022-23,2020s,False,16-30
Ligue 1,12,2022-10-21,Away,Paris Saint-Germain,AC Ajaccio,0:3,CF,78,0:2,Left-footed shot,Kylian Mbappé,2022-23,2020s,False,76-90
UEFA Champions League,Group Stage,2022-10-25,Home,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19,1:0,Left-footed shot,Kylian Mbappé,2022-23,2020s,True,16-30
UEFA Champions League,Group Stage,2022-10-25,Home,Paris Saint-Germain,Maccabi Haifa,7:2,SS,45,4:1,Left-footed shot,Kylian Mbappé,2022-23,2020s,True,31-45
Ligue 1,13,2022-10-29,Home,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55,2:2,Left-footed shot,Sergio Ramos,2022-23,2020s,True,46-60
Ligue 1,18,2023-01-11,Home,Paris Saint-Germain,Angers SCO,2:0,AM,72,2:0,Right-footed shot,Nordi Mukiele,2022-23,2020s,True,61-75
Ligue 1,21,2023-02-01,Away,Paris Saint-Germain,Montpellier HSC,1:3,SS,72,0:2,Left-footed shot,Fabián Ruiz,2022-23,2020s,False,61-75
Ligue 1,22,2023-02-04,Home,Paris Saint-Germain,FC Toulouse,2:1,SS,58,2:1,Left-footed shot,Achraf Hakimi,2022-23,2020s,True,46-60
Ligue 1,24,2023-02-19,Home,Paris Saint-Germain,LOSC Lille,4:3,CF,95,4:3,Direct free kick,Not Applicable,2022-23,2020s,True,91+
Ligue 1,25,2023-02-26,Away,Paris Saint-Germain,Olympique Marseille,0:3,SS,29,0:2,Right-footed shot,Kylian Mbappé,2022-23,2020s,False,16-30
Ligue 1,26,2023-03-04,Home,Paris Saint-Germain,FC Nantes,4:2,CF,12,1:0,Left-footed shot,Not Applicable,2022-23,2020s,True,0-15
Ligue 1,30,2023-04-08,Away,Paris Saint-Germain,OGC Nice,0:2,CF,26,0:1,Left-footed shot,Nuno Mendes,2022-23,2020s,False,16-30
Ligue 1,31,2023-04-15,Home,Paris Saint-Germain,RC Lens,3:1,CF,40,3:0,Left-footed shot,Kylian Mbappé,2022-23,2020s,True,31-45
Ligue 1,37,2023-05-27,Away,Paris Saint-Germain,RC Strasbourg Alsace,1:1,CF,59,0:1,Left-footed shot,Kylian Mbappé,2022-23,2020s,False,46-60
Leagues Cup,Group Stage,2023-07-22,Away,Inter Miami CF,CD Cruz Azul,1:2,RW,94,1:2,Direct free kick,Not Applicable,2023-24,2020s,False,91+
Leagues Cup,Group Stage,2023-07-26,Home,Inter Miami CF,Atlanta United FC,4:0,RW,8,1:0,Right-footed shot,Not Applicable,2023-24,2020s,True,0-15
Leagues Cup,Group Stage,2023-07-26,Home,Inter Miami CF,Atlanta United FC,4:0,RW,22,2:0,Right-footed shot,Robert Taylor,2023-24,2020s,True,16-30
Leagues Cup,First Round,2023-08-03,Home,Inter Miami CF,Orlando City SC,3:1,RW,7,1:0,Left-footed shot,Robert Taylor,2023-24,2020s,True,0-15
Leagues Cup,First Round,2023-08-03,Home,Inter Miami CF,Orlando City SC,3:1,RW,72,3:1,Right-footed shot,Josef Martínez,2023-24,2020s,True,61-75
Leagues Cup,Round of 16,2023-08-07,Away,Inter Miami CF,FC Dallas,7:9,RW,6,0:1,Left-footed shot,Jordi Alba,2023-24,2020s,False,0-15
Leagues Cup,Round of 16,2023-08-07,Away,Inter Miami CF,FC Dallas,7:9,RW,85,4:4,Direct free kick,Not Applicable,2023-24,2020s,False,76-90
Leagues Cup,Quarter-Finals,2023-08-12,Home,Inter Miami CF,Charlotte FC,4:0,RW,86,4:0,Left-footed shot,Leonardo Campana,2023-24,2020s,True,76-90
Leagues Cup,Semi-Finals,2023-08-16,Away,Inter Miami CF,Philadelphia Union,1:4,RW,20,0:2,Left-footed shot,Josef Martínez,2023-24,2020s,False,16-30
Leagues Cup,Final,2023-08-20,Away,Inter Miami CF,Nashville SC,10:11,RW,23,0:1,Left-footed shot,Not Applicable,2023-24,2020s,False,16-30
MLS,28,2023-08-27,Away,Inter Miami CF,Red Bull New York,0:2,CF,89,0:2,Left-footed shot,Benja Cremaschi,2023-24,2020s,False,76-90
MLS,1,2024-02-26,Away,Inter Miami CF,Los Angeles Galaxy,1:1,RW,92,1:1,Left-footed shot,Jordi Alba,2023-24,2020s,False,91+
MLS,2,2024-03-02,Home,Inter Miami CF,Orlando City SC,5:0,RW,57,4:0,Chest,Not Applicable,2023-24,2020s,True,46-60
MLS,2,2024-03-02,Home,Inter Miami CF,Orlando City SC,5:0,RW,62,5:0,Header,Luis Suárez,2023-24,2020s,True,61-75
CONCACAF Champions Cup,Round of 16,2024-03-08,Away,Inter Miami CF,Nashville SC,2:2,CF,52,2:1,Not reported,Luis Suárez,2023-24,2020s,False,46-60
CONCACAF Champions Cup,Round of 16,2024-03-14,Home,Inter Miami CF,Nashville SC,3:1,CF,23,2:0,Left-footed shot,Diego Gómez,2023-24,2020s,True,16-30
MLS,7,2024-04-07,Home,Inter Miami CF,Colorado Rapids,2:2,CF,57,1:1,Left-footed shot,Franco Negri,2023-24,2020s,True,46-60
MLS,8,2024-04-14,Away,Inter Miami CF,Sporting Kansas City,2:3,RW,51,1:2,Left-footed shot,David Ruíz,2023-24,2020s,False,46-60
MLS,9,2024-04-21,Home,Inter Miami CF,Nashville SC,3:1,RW,11,1:1,Left-footed shot,Luis Suárez,2023-24,2020s,True,0-15
MLS,9,2024-04-21,Home,Inter Miami CF,Nashville SC,3:1,RW,81,3:1,Penalty,Not Applicable,2023-24,2020s,True,76-90
MLS,10,2024-04-28,Away,Inter Miami CF,New England Revolution,1:4,RW,32,1:1,Left-footed shot,Robert Taylor,2023-24,2020s,False,31-45
MLS,10,2024-04-28,Away,Inter Miami CF,New England Revolution,1:4,RW,67,1:2,Left-footed shot,Sergio Busquets,2023-24,2020s,False,61-75
MLS,11,2024-05-05,Home,Inter Miami CF,Red Bull New York,6:2,RW,50,2:1,Left-footed shot,Luis Suárez,2023-24,2020s,True,46-60
MLS,16,2024-05-30,Home,Inter Miami CF,Atlanta United FC,1:3,RW,62,1:2,Left-footed shot,Sergio Busquets,2023-24,2020s,True,61-75
MLS,17,2024-06-02,Home,Inter Miami CF,St. Louis CITY SC,3:3,RW,25,1:1,Left-footed shot,Jordi Alba,2023-24,2020s,True,16-30
MLS,31,2024-09-15,Home,Inter Miami CF,Philadelphia Union,3:1,RW,26,1:1,Right-footed shot,Luis Suárez,2024-25,2020s,True,16-30
MLS,31,2024-09-15,Home,Inter Miami CF,Philadelphia Union,3:1,RW,30,2:1,Left-footed shot,Jordi Alba,2024-25,2020s,True,16-30
MLS,34,2024-09-29,Home,Inter Miami CF,Charlotte FC,1:1,RW,67,1:1,Left-footed shot,Marcelo Weigandt,2024-25,2020s,True,61-75
MLS,35,2024-10-03,Away,Inter Miami CF,Columbus Crew,2:3,RW,45,0:1,Left-footed shot,Not Applicable,2024-25,2020s,False,31-45
MLS,35,2024-10-03,Away,Inter Miami CF,Columbus Crew,2:3,RW,50,0:2,Direct free kick,Not Applicable,2024-25,2020s,False,46-60
MLS,37,2024-10-20,Home,Inter Miami CF,New England Revolution,6:2,RW,78,4:2,Left-footed shot,Luis Suárez,2024-25,2020s,True,76-90
MLS,37,2024-10-20,Home,Inter Miami CF,New England Revolution,6:2,RW,81,5:2,Left-footed shot,Jordi Alba,2024-25,2020s,True,76-90
MLS,37,2024-10-20,Home,Inter Miami CF,New England Revolution,6:2,RW,89,6:2,Left-footed shot,Luis Suárez,2024-25,2020s,True,76-90
MLS Cup Playoffs,First Round,2024-11-10,Home,Inter Miami CF,Atlanta United FC,2:3,RW,65,2:2,Header,Marcelo Weigandt,2024-25,2020s,True,61-75
CONCACAF Champions Cup,First Round,2025-02-20,Away,Inter Miami CF,Sporting Kansas City,0:1,SS,56,0:1,Right-footed shot,Sergio Busquets,2024-25,2020s,False,46-60
CONCACAF Champions Cup,First Round,2025-02-26,Home,Inter Miami CF,Sporting Kansas City,3:1,SS,19,1:0,Left-footed shot,Luis Suárez,2024-25,2020s,True,16-30
CONCACAF Champions Cup,Round of 16,2025-03-14,Away,Inter Miami CF,Cavalier FC,0:2,CF,92,0:2,Left-footed shot,Santiago Morales,2024-25,2020s,False,91+
MLS,4,2025-03-17,Away,Inter Miami CF,Atlanta United FC,1:2,CF,20,1:1,Left-footed shot,Not Applicable,2024-25,2020s,False,16-30
MLS,6,2025-03-30,Home,Inter Miami CF,Philadelphia Union,2:1,RW,57,2:0,Right-footed shot,Luis Suárez,2024-25,2020s,True,46-60
MLS,7,2025-04-07,Home,Inter Miami CF,Toronto FC,1:1,CF,50,1:1,Left-footed shot,Telasco Segovia,2024-25,2020s,True,46-60
CONCACAF Champions Cup,Quarter-Finals,2025-04-10,Home,Inter Miami CF,Los Angeles FC,3:1,SS,35,1:1,Left-footed shot,Not Applicable,2024-25,2020s,True,31-45
CONCACAF Champions Cup,Quarter-Finals,2025-04-10,Home,Inter Miami CF,Los Angeles FC,3:1,SS,84,3:1,Penalty,Not Applicable,2024-25,2020s,True,76-90
MLS,11,2025-05-04,Home,Inter Miami CF,Red Bull New York,4:1,CF,67,4:1,Left-footed shot,Telasco Segovia,2024-25,2020s,True,61-75
MLS,12,2025-05-10,Away,Inter Miami CF,Minnesota United FC,4:1,CF,48,2:1,Left-footed shot,Jordi Alba,2024-25,2020s,False,46-60
MLS,15,2025-05-25,Away,Inter Miami CF,Philadelphia Union,3:3,CF,87,3:2,Direct free kick,Not Applicable,2024-25,2020s,False,76-90
MLS,16,2025-05-29,Home,Inter Miami CF,CF Montréal,4:2,CF,27,1:0,Left-footed shot,Sergio Busquets,2024-25,2020s,True,16-30
MLS,16,2025-05-29,Home,Inter Miami CF,CF Montréal,4:2,CF,87,4:1,Left-footed shot,Luis Suárez,2024-25,2020s,True,76-90
MLS,17,2025-06-01,Home,Inter Miami CF,Columbus Crew,5:1,CF,15,2:0,Left-footed shot,Not Applicable,2024-25,2020s,True,0-15
MLS,17,2025-06-01,Home,Inter Miami CF,Columbus Crew,5:1,CF,24,3:0,Left-footed shot,Sergio Busquets,2024-25,2020s,True,16-30
Club World Cup,Group Stage,2025-06-19,Home,Inter Miami CF,FC Porto,2:1,SS,54,2:1,Direct free kick,Not Applicable,2024-25,2020s,True,46-60
MLS,22,2025-07-06,Away,Inter Miami CF,CF Montréal,1:4,RW,40,1:2,Left-footed shot,Luis Suárez,2025-26,2020s,False,31-45
MLS,22,2025-07-06,Away,Inter Miami CF,CF Montréal,1:4,RW,62,1:4,Left-footed shot,Luis Suárez,2025-26,2020s,False,61-75
MLS,23,2025-07-10,Away,Inter Miami CF,New England Revolution,1:2,CF,27,0:1,Left-footed shot,Not Applicable,2025-26,2020s,False,16-30
MLS,23,2025-07-10,Away,Inter Miami CF,New England Revolution,1:2,CF,38,0:2,Left-footed shot,Sergio Busquets,2025-26,2020s,False,31-45
MLS,23,2025-07-13,Home,Inter Miami CF,Nashville SC,2:1,CF,17,1:0,Direct free kick,Not Applicable,2025-26,2020s,True,16-30
MLS,23,2025-07-13,Home,Inter Miami CF,Nashville SC,2:1,CF,62,2:1,Left-footed shot,Not Applicable,2025-26,2020s,True,61-75
MLS,25,2025-07-20,Away,Inter Miami CF,Red Bull New York,1:5,CF,60,1:4,Left-footed shot,Sergio Busquets,2025-26,2020s,False,46-60
MLS,25,2025-07-20,Away,Inter Miami CF,Red Bull New York,1:5,CF,75,1:5,Left-footed shot,Luis Suárez,2025-26,2020s,False,61-75
MLS,28,2025-08-17,Home,Inter Miami CF,Los Angeles Galaxy,3:1,SS,84,2:1,Left-footed shot,Rodrigo De Paul,2025-26,2020s,True,76-90
Leagues Cup,Semi-Finals,2025-08-28,Home,Inter Miami CF,Orlando City SC,3:1,CF,77,1:1,Penalty,Not Applicable,2025-26,2020s,True,76-90
Leagues Cup,Semi-Finals,2025-08-28,Home,Inter Miami CF,Orlando City SC,3:1,CF,88,2:1,Not reported,Jordi Alba,2025-26,2020s,True,76-90
MLS,33,2025-09-17,Home,Inter Miami CF,Seattle Sounders FC,3:1,CF,41,2:0,Left-footed shot,Jordi Alba,2025-26,2020s,True,31-45
MLS,33,2025-09-21,Home,Inter Miami CF,D.C. United,3:2,CF,66,2:1,Left-footed shot,Jordi Alba,2025-26,2020s,True,61-75
MLS,33,2025-09-21,Home,Inter Miami CF,D.C. United,3:2,CF,85,3:1,Left-footed shot,Sergio Busquets,2025-26,2020s,True,76-90
MLS,34,2025-09-25,Away,Inter Miami CF,New York City FC,0:4,SS,74,0:2,Left-footed shot,Sergio Busquets,2025-26,2020s,False,61-75
MLS,34,2025-09-25,Away,Inter Miami CF,New York City FC,0:4,SS,86,0:4,Right-footed shot,Marcelo Weigandt,2025-26,2020s,False,76-90
MLS,21,2025-10-12,Home,Inter Miami CF,Atlanta United FC,4:0,AM,39,1:0,Left-footed shot,Baltasar Rodríguez,2025-26,2020s,True,31-45
MLS,21,2025-10-12,Home,Inter Miami CF,Atlanta United FC,4:0,AM,87,4:0,Left-footed shot,Jordi Alba,2025-26,2020s,True,76-90
MLS,36,2025-10-19,Away,Inter Miami CF,Nashville SC,2:5,CF,34,0:1,Left-footed shot,Jordi Alba,2025-26,2020s,False,31-45
MLS,36,2025-10-19,Away,Inter Miami CF,Nashville SC,2:5,CF,63,2:2,Penalty,Not Applicable,2025-26,2020s,False,61-75
MLS,36,2025-10-19,Away,Inter Miami CF,Nashville SC,2:5,CF,81,2:4,Left-footed shot,Ian Fray,2025-26,2020s,False,76-90
MLS Cup Playoffs,First Round,2025-10-25,Home,Inter Miami CF,Nashville SC,3:1,CF,19,1:0,Header,Luis Suárez,2025-26,2020s,True,16-30
MLS Cup Playoffs,First Round,2025-10-25,Home,Inter Miami CF,Nashville SC,3:1,CF,96,3:0,Left-footed shot,Not Applicable,2025-26,2020s,True,91+
MLS Cup Playoffs,First Round,2025-11-02,Away,Inter Miami CF,Nashville SC,2:1,AM,89,2:1,Left-footed shot,Rodrigo De Paul,2025-26,2020s,False,76-90
MLS Cup Playoffs,First Round,2025-11-09,Home,Inter Miami CF,Nashville SC,4:0,CF,10,1:0,Left-footed shot,Tadeo Allende,2025-26,2020s,True,0-15
MLS Cup Playoffs,First Round,2025-11-09,Home,Inter Miami CF,Nashville SC,4:0,CF,39,2:0,Left-footed shot,Mateo Silvetti,2025-26,2020s,True,31-45
MLS Cup Playoffs,Quarter-Finals,2025-11-23,Away,Inter Miami CF,FC Cincinnati,0:4,CF,19,0:1,Header,Mateo Silvetti,2025-26,2020s,False,16-30
MLS,2,2026-03-02,Away,Inter Miami CF,Orlando City SC,2:4,SS,57,2:2,Left-footed shot,Telasco Segovia,2025-26,2020s,False,46-60
MLS,2,2026-03-02,Away,Inter Miami CF,Orlando City SC,2:4,SS,90,2:4,Direct free kick,Not Applicable,2025-26,2020s,False,76-90
MLS,3,2026-03-07,Away,Inter Miami CF,D.C. United,1:2,SS,27,0:2,Left-footed shot,Mateo Silvetti,2025-26,2020s,False,16-30
